reclat,reclon,
42.94609,-78.82575,
42.94609,-78.82577,
42.94609,-78.82582,
42.9461,-78.82587,
42.94611,-78.82592,
42.94612,-78.82597,
42.94614,-78.82601,
42.94616,-78.82607,
42.94618,-78.82612,
42.9462,-78.82617,
42.94622,-78.82621, 
42.94624,-78.82626, 
42.94626,-78.82631, 
42.94627,-78.82637, 
42.94629,-78.82644, 
42.94631,-78.8265, 
42.94633,-78.82657, 
42.94635,-78.82664, 
42.94637,-78.82671, 
42.94639,-78.82678, 
42.94641,-78.82685, 
42.94644,-78.82693, 
42.94646,-78.82701, 
42.94649,-78.82709, 
42.94652,-78.82716, 
42.94656,-78.82722, 
42.94655,-78.82731, 
42.94658,-78.82733, 
42.9466,-78.8274, 
42.94662,-78.82743, 
42.94663,-78.82749, 
42.94666,-78.82756, 
42.94668,-78.82763, 
42.94672,-78.8277, 
42.94674,-78.82779, 
42.94677,-78.82787, 
42.94679,-78.82795, 
42.94682,-78.82803, 
42.94685,-78.82809, 
42.94688,-78.82816, 
42.94691,-78.82825, 
42.94693,-78.82832, 
42.94695,-78.82841, 
42.94697,-78.82852, 
42.94699,-78.82862, 
42.94703,-78.82871, 
42.94706,-78.8288, 
42.94708,-78.82887, 
42.94712,-78.82896, 
42.94716,-78.82904, 
42.94719,-78.82912, 
42.94721,-78.82915, 
42.94723,-78.82919, 
42.94725,-78.82922, 
42.94726,-78.82926, 
42.94727,-78.82929, 
42.9473,-78.82933, 
42.94734,-78.82939, 
42.94738,-78.82945, 
42.94742,-78.82951, 
42.94748,-78.82957, 
42.94752,-78.82962, 
42.94755,-78.82965, 
42.94758,-78.82967, 
42.9476,-78.82969, 
42.94762,-78.8297, 
42.94765,-78.82968, 
42.94769,-78.82966, 
42.94774,-78.82961, 
42.94779,-78.82956, 
42.94785,-78.82948, 
42.9479,-78.82943, 
42.94796,-78.82938, 
42.94801,-78.82932, 
42.94804,-78.82926, 
42.94805,-78.8292, 
42.94804,-78.82913, 
42.94801,-78.82907, 
42.94799,-78.82901, 
42.94797,-78.82894, 
