reclon,reclat
-78.81758932,42.94651616
-78.81758857,42.9464934
-78.81758429,42.94646956
-78.81758354,42.94644164
-78.8175837,42.94642329
-78.81759804,42.94640833
-78.81761019,42.94639177
-78.81760424,42.94636495
-78.81759351,42.94634152
-78.81758379,42.94631713
-78.81757624,42.94629324
-78.81756744,42.94626738
-78.81755663,42.94624161
-78.81754347,42.94621927
-78.81755688,42.94620071
-78.81758957,42.9461896
-78.81762243,42.94619522
-78.81766576,42.94620347
-78.81769829,42.94620846
-78.81773676,42.94621244
-78.81777179,42.94622112
-78.81779049,42.94624337
-78.81779568,42.94626613
-78.81780365,42.94630154
-78.81781287,42.94632975
-78.81782217,42.94636281
-78.81782158,42.94638683
-78.81784044,42.94640196
-78.8178712,42.94640196
-78.81789878,42.94640183
-78.81792543,42.94640309
-78.81789191,42.94641218
-78.81785737,42.9463999
-78.81781982,42.94638896
-78.81778311,42.94639269
-78.81775042,42.94640346
-78.81773609,42.94642907
-78.81773802,42.94645053
-78.81774715,42.94646968
-78.81775084,42.94649801
-78.81774321,42.94652756
-78.81773475,42.94655639
-78.81772846,42.9465768
-78.81771538,42.94660044
-78.8177101,42.94662764
-78.81772192,42.94665781
-78.81773684,42.94668581
-78.81774682,42.94670639
-78.81775059,42.94672893
-78.81775872,42.94675366
-78.81776542,42.94678166
-78.81776995,42.94680927
-78.81777062,42.94683756
-78.81776827,42.94686351
-78.81776945,42.94688861
-78.81777104,42.94691145
-78.81777003,42.94693433
-78.81776199,42.94695357
-78.81776123,42.94697184
-78.81776526,42.94699196
-78.81776827,42.94701019
-78.81777196,42.94703089
-78.81777423,42.94704971
-78.81777045,42.94707435
-78.8177671,42.94710583
-78.81776735,42.94712456
-78.81777657,42.94715
-78.81778604,42.94717602
-78.81779099,42.94719669
-78.81779417,42.94722296
-78.81779091,42.94725008
-78.81779032,42.94727501
-78.8177925,42.94729978
-78.81778412,42.94732179
-78.81778026,42.94734039
-78.81778093,42.94736344
-78.81780038,42.9473823
-78.81783265,42.94738796
-78.81786349,42.94739161
-78.81789182,42.947395
-78.81792535,42.94739957
-78.81795938,42.94740552
-78.81799241,42.94740963
-78.81802518,42.94741101
-78.81804999,42.94741059
-78.81807866,42.94741474
-78.81810523,42.94741851
-78.8181416,42.94741943
-78.81818159,42.94742208
-78.81822073,42.94742673
-78.81825401,42.94742962
-78.8182794,42.94743117
-78.81830849,42.94742736
-78.81834839,42.94742036
-78.8183856,42.94742203
-78.81842064,42.94743268
-78.81844293,42.9474416
-78.81847185,42.94744508
-78.81849934,42.94744504
-78.81852441,42.94744777
-78.81856162,42.94745535
-78.8186016,42.94745942
-78.8186348,42.94746076
-78.81867268,42.94746424
-78.8187083,42.94747107
-78.81874133,42.94748188
-78.81877134,42.94749206
-78.81880327,42.94749625
-78.8188275,42.94749303
-78.81886228,42.94749479
-78.81889941,42.94749642
-78.81893135,42.94750015
-78.81896043,42.94750208
-78.81899094,42.94749852
-78.81902866,42.94749806
-78.81906529,42.94750061
-78.8190963,42.94750355
-78.81912983,42.9475012
-78.81916177,42.94750221
-78.81919798,42.94750447
-78.81923377,42.94751687
-78.81925975,42.9475253
-78.81928783,42.94752245
-78.81932127,42.94751901
-78.81935614,42.94751843
-78.8193869,42.94752119
-78.81941733,42.94751985
-78.8194475,42.94750535
-78.81946368,42.94748318
-78.81947416,42.94746042
-78.81948237,42.94743733
-78.81948832,42.94741156
-78.81949218,42.94739211
-78.81952412,42.94737841
-78.81955806,42.94737849
-78.81959452,42.94738478
-78.81962084,42.94739018
-78.81965781,42.94739177
-78.81969561,42.94740083
-78.81973115,42.94740359
-78.81976585,42.94739525
-78.81979795,42.9473919
-78.81982461,42.94739529
-78.81986023,42.94739852
-78.81989351,42.94740255
-78.81992117,42.94740787
-78.81995226,42.94742212
-78.81998277,42.94743146
-78.82001814,42.94743297
-78.82005955,42.94743729
-78.82009475,42.94744341
-78.82013063,42.94744223
-78.82017086,42.94744249
-78.82020774,42.94744098
-78.82024412,42.9474341
-78.82028209,42.94743205
-78.82031394,42.94743213
-78.82033917,42.94743645
-78.82036398,42.94745166
-78.82039072,42.94746507
-78.82042291,42.94747077
-78.82045199,42.94747635
-78.82048183,42.94748096
-78.82051075,42.94748448
-78.82054327,42.94748997
-78.8205794,42.94748888
-78.8206115,42.94748905
-78.82064637,42.94749039
-78.82068652,42.94748993
-78.82072574,42.94749475
-78.82076422,42.94750158
-78.82079196,42.94750585
-78.82082784,42.94751239
-78.82085952,42.9475139
-78.82089003,42.94751834
-78.82092364,42.94752178
-78.82096128,42.94752547
-78.82099371,42.94752928
-78.82102909,42.94753343
-78.82105943,42.94753498
-78.82108474,42.94753758
-78.82111567,42.94754227
-78.82115398,42.94754839
-78.82118952,42.94755627
-78.82122313,42.9475626
-78.82125372,42.9475649
-78.82128406,42.94756788
-78.82131818,42.94757224
-78.82135246,42.94757756
-78.82138607,42.94758104
-78.82142153,42.94757609
-78.82145489,42.94757249
-78.82148188,42.9475737
-78.8215144,42.94758033
-78.82154457,42.94758116
-78.82158003,42.94757433
-78.82160853,42.94756084
-78.82163652,42.94754889
-78.82167156,42.947546
-78.82170643,42.94754873
-78.82173258,42.94755057
-78.82175907,42.94755807
-78.8217905,42.94756842
-78.82181724,42.94757563
-78.8218433,42.9475766
-78.82187122,42.9475745
-78.82190717,42.9475758
-78.82193861,42.94757618
-78.82197054,42.94758041
-78.82200155,42.94758607
-78.82203642,42.94759353
-78.82207213,42.94760187
-78.82211178,42.9476004
-78.82214354,42.9476009
-78.82217422,42.94760698
-78.82220113,42.94761255
-78.82222946,42.94761247
-78.82226801,42.9476136
-78.82229551,42.94763011
-78.82231546,42.94764093
-78.82234856,42.94764449
-78.82238536,42.94764135
-78.82242333,42.94763703
-78.82245988,42.94763841
-78.82248678,42.94763472
-78.82252023,42.94763087
-78.82255635,42.94763745
-78.82258812,42.94764319
-78.82261628,42.94764482
-78.82264704,42.94764755
-78.82268543,42.94764847
-78.82271469,42.94764445
-78.82274905,42.94764281
-78.82278602,42.94764172
-78.82282424,42.94764168
-78.82285123,42.94764436
-78.82288191,42.94765094
-78.82291007,42.94766041
-78.82293991,42.94766691
-78.82297251,42.9476693
-78.82300587,42.94767261
-78.82304041,42.94767462
-78.82306949,42.94767957
-78.82309715,42.94768363
-78.82313185,42.94768468
-78.82315759,42.94769482
-78.82318608,42.94770501
-78.82321978,42.94770668
-78.8232606,42.94770082
-78.82330192,42.94769931
