reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.82941628,42.95098428,0,0,0,197.4759792,2020/11/03 19:00:40+00,,,,,,,,,,,,,,,,,,,,,
-78.82944534,42.95097671,0,0,1,197.4477093,2020/11/03 19:00:41+00,,,,,,,,,,,,,,,,,,,,,
-78.82946186,42.95098052,0,0,2,197.3982146,2020/11/03 19:00:42+00,,,,,,,,,,,,,,,,,,,,,
-78.82949757,42.95098282,0,0,3,197.2840304,2020/11/03 19:00:44+00,,,,,,,,,,,,,,,,,,,,,
-78.8295092,42.95098997,0,0,4,197.2326266,2020/11/03 19:00:45+00,,,,,,,,,,,,,,,,,,,,,
-78.82954927,42.95100187,0,0,5,197.0292698,2020/11/03 19:00:47+00,,,,,,,,,,,,,,,,,,,,,
-78.82959191,42.9510017,0,0,6,196.9950185,2020/11/03 19:00:49+00,,,,,,,,,,,,,,,,,,,,,
-78.82961776,42.95099814,0,0,7,196.9156154,2020/11/03 19:00:51+00,,,,,,,,,,,,,,,,,,,,,
-78.82966016,42.95099582,0,0,8,196.8356438,2020/11/03 19:00:54+00,,,,,,,,,,,,,,,,,,,,,
-78.82969023,42.95097251,0,0,9,196.770501,2020/11/03 19:00:55+00,,,,,,,,,,,,,,,,,,,,,
-78.82973095,42.95096809,0,0,10,196.7333744,2020/11/03 19:00:57+00,,,,,,,,,,,,,,,,,,,,,
-78.82974732,42.95097142,0,0,11,196.7117698,2020/11/03 19:00:58+00,,,,,,,,,,,,,,,,,,,,,
-78.82977216,42.9509688,0,0,12,196.6850525,2020/11/03 19:00:59+00,,,,,,,,,,,,,,,,,,,,,
-78.82972957,42.95091063,0,0,13,196.5997456,2020/11/03 19:01:08+00,,,,,,,,,,,,,,,,,,,,,
-78.82972774,42.95093071,0,0,14,197.0619403,2020/11/03 19:01:15+00,,,,,,,,,,,,,,,,,,,,,
-78.82976579,42.95093427,0,0,15,196.8158572,2020/11/03 19:01:16+00,,,,,,,,,,,,,,,,,,,,,
-78.82980253,42.95095824,0,0,16,196.7247883,2020/11/03 19:01:18+00,,,,,,,,,,,,,,,,,,,,,
-78.8298314,42.95096741,0,0,17,196.2598734,2020/11/03 19:01:19+00,,,,,,,,,,,,,,,,,,,,,
